Survey Request ID,Survey Request Created At,Survey Request Dispatch At,Person ID,Person Created At,Person Email,Person Name,Latest Event,Latest Event Timestamp,Survey Response ID,Survey Response Score,Survey Response Comment,Survey Response Created At,Survey Response Notes,Survey Response Tags,Import ID,Import Size,Import Created At,Import Dispatched At,API,Channel,application_id,assignee_name,conversation_id,customer_id,Delighted Browser,Delighted Device Type,Delighted Operating System,Delighted Source,internal_case_tags,lcs_prior_to_withdrawn,withdrawn_lifecycle_stage,Additional Question: Thanks for your response. Please tell us a bit more about how we could improve. (ID: text_ZH0ENW)
3846856651,3/7/2023 10:16,3/28/2023 8:39,1295367121,3/21/2023 13:48,,,surveyed,3/3/2023 6:37,,,,,,,,,,,Yes,Email,6012209,,70627f0c-9f3b-43c8-b1ef-73ff7c,54817879,,,,Email,,application_requested,withdrawn,
3865100123,3/30/2023 9:30,3/31/2023 16:52,1261966714,1/30/2021 14:00,,,opened,3/10/2023 12:05,,,,,,,,,,,Yes,Email,5821867,,a62ea923-ba67-41b2-872d-6354eb,59270795,,,,Email,,application_requested,withdrawn,
3865419068,3/7/2023 8:48,3/7/2023 6:46,1319654934,3/27/2023 13:32,,,suppressed,3/31/2023 11:31,,,,,,,,,,,Yes,Email,6282318,,421d35cf-9c41-4528-b7b8-f2851e,63911008,,,,Email,,sign_and_exam,application_closed_withdrawn,
3849806062,3/15/2023 11:15,3/16/2023 8:09,1261310431,3/11/2023 13:57,,,surveyed,3/24/2023 9:05,,,,,,,,,,,Yes,Email,6303677,,83e4765e-4fac-4463-8478-419982,61737986,,,,Email,,application_requested,application_closed_withdrawn,
3867482101,3/20/2023 10:36,3/5/2023 12:15,1288377848,3/28/2023 10:13,,,surveyed,3/8/2023 15:22,,,,,,,,,,,Yes,Email,5716516,,0b4123c0-52c4-4812-8fbe-78c11a,51224088,,,,Email,,application_requested,withdrawn,
3868804124,3/15/2023 9:35,3/16/2023 7:38,1302487327,3/3/2023 13:40,,,surveyed,3/2/2023 4:23,,,,,,,,,,,Yes,Email,5827490,,678d031f-e849-46b7-8d69-2365d6,57717079,,,,Email,,sign_and_exam,withdrawn,
3861105152,3/15/2023 13:20,3/16/2023 14:26,1288549781,2/28/2023 9:33,,,opened,3/7/2023 12:05,,,,,,,,,,,Yes,Email,5767456,,261a52d4-dcb5-4e29-a86c-61a3b8,60731535,,,,Email,,sign_and_exam,application_closed_withdrawn,
3861775019,3/9/2023 18:30,3/10/2023 9:59,1333098873,3/25/2023 17:33,,,surveyed,3/25/2023 12:17,,,,,,,,,,,Yes,Email,5879353,,57d988bf-c317-4b12-9e2f-111ae0,62671091,,,,Email,,sign_and_exam,withdrawn,
3864889767,3/29/2023 12:42,3/12/2023 9:55,1313806385,3/28/2023 10:16,,,opened,3/26/2023 8:19,,,,,,,,,,,Yes,Email,6284353,,13959065-957b-4c0e-97df-c47f24,61391150,,,,Email,,application_requested,withdrawn,
3855198301,3/21/2023 13:20,3/22/2023 11:54,1224673323,3/1/2023 9:17,,,opened,3/22/2023 13:48,,,,,,,,,,,Yes,Email,5770466,,06194e0b-a886-4aa4-86a1-725b97,55380635,,,,Email,,application_requested,underwriting_application_closed_withdrawn,
3856430492,3/24/2023 13:18,3/28/2023 16:04,1218442502,3/5/2023 13:21,,,opened,3/8/2023 10:17,,,,,,,,,,,Yes,Email,6201949,,9f91e0f8-5060-40d5-bdbc-2e120f,55852748,,,,Email,,sign_and_exam,withdrawn,
3863511999,3/29/2023 7:39,3/30/2023 7:46,1310717287,3/29/2023 12:12,,,suppressed,3/28/2023 11:20,,,,,,,,,,,Yes,Email,6304174,,ec3de8c6-7a61-4206-8bd2-075ef0,61820865,,,,Email,,application_requested,withdrawn,
3853015922,3/24/2023 12:43,3/12/2023 8:45,1255299032,3/10/2023 12:52,,,surveyed,3/14/2023 11:12,,,,,,,,,,,Yes,Email,6254785,,1e1c54b4-ace1-46a1-82e8-3319bd,49093910,,,,Email,,sign_and_exam,application_closed_withdrawn,
3857238598,3/15/2023 16:17,3/17/2023 7:54,1248344713,3/13/2023 10:58,,,surveyed,3/10/2023 16:34,,,,,,,,,,,Yes,Email,5790754,,8a8d9ac5-28e0-4305-846b-a84cde,49495683,,,,Email,,application_requested,withdrawn,
